class,name,website
city,agoura_hills,https://www.tripadvisor.com/Attractions-g29069-Activities-Agoura_Hills_California.html
city,alhambra,https://www.tripadvisor.com/Attractions-g29078-Activities-Alhambra_California.html
city,arcadia,https://www.tripadvisor.com/Attractions-g29105-Activities-Arcadia_California.html
city,artesia,https://www.tripadvisor.com/Attractions-g29112-Activities-Artesia_California.html
city,avalon,https://www.tripadvisor.com/Attractions-g29121-Activities-Avalon_Catalina_Island_California.html
other,channel_islands,https://www.tripadvisor.com/Attractions-g143019-Activities-Channel_Islands_National_Park_California.html
city,azusa,https://www.tripadvisor.com/Attractions-g29125-Activities-Azusa_California.html
city,baldwin_park,https://www.tripadvisor.com/Attractions-g32038-Activities-Baldwin_Park_California.html
city,bell,
city,bell_gardens,https://www.tripadvisor.com/Attractions-g32057-Activities-Bell_Gardens_California.html
city,bellflower,https://www.tripadvisor.com/Attractions-g32059-Activities-Bellflower_California.html
city,beverly_hills,https://www.tripadvisor.com/Attractions-g32070-Activities-Beverly_Hills_California.html
city,bradbury,
city,burbank,https://www.tripadvisor.com/Attractions-g32123-Activities-Burbank_California.html
city,calabasas,https://www.tripadvisor.com/Attractions-g32136-Activities-Calabasas_California.html
city,carson,https://www.tripadvisor.com/Attractions-g32177-Activities-Carson_California.html
city,cerritos,https://www.tripadvisor.com/Attractions-g32196-Activities-Cerritos_California.html
city,claremont,https://www.tripadvisor.com/Attractions-g32215-Activities-Claremont_California.html
city,commerce,
city,compton,https://www.tripadvisor.com/Attractions-g32242-Activities-Compton_California.html
city,covina,https://www.tripadvisor.com/Attractions-g32260-Activities-Covina_California.html
city,cudahy,
city,culver_city,https://www.tripadvisor.com/Attractions-g32272-Activities-Culver_City_California.html
city,diamond_bar,https://www.tripadvisor.com/Attractions-g32296-Activities-Diamond_Bar_California.html
city,downey,https://www.tripadvisor.com/Attractions-g32308-Activities-Downey_California.html
city,duarte,
city,el_monte,https://www.tripadvisor.com/Attractions-g32338-Activities-El_Monte_California.html
city,el_segundo,https://www.tripadvisor.com/Attractions-g32341-Activities-El_Segundo_California.html
city,gardena,https://www.tripadvisor.com/Attractions-g32422-Activities-Gardena_California.html
city,glendale,https://www.tripadvisor.com/Attractions-g32431-Activities-Glendale_California.html
city,glendora,https://www.tripadvisor.com/Attractions-g32432-Activities-Glendora_California.html
city,hawaiian_gardens,https://www.tripadvisor.com/Attractions-g32477-Activities-Hawaiian_Gardens_California.html
city,hawthorne,https://www.tripadvisor.com/Attractions-g32478-Activities-Hawthorne_California.html
city,hermosa_beach,https://www.tripadvisor.com/Attractions-g32490-Activities-Hermosa_Beach_California.html
city,hidden_hills,
city,huntington_park,https://www.tripadvisor.com/Attractions-g32515-Activities-Huntington_Park_California.html
city,industry,https://www.tripadvisor.com/Attractions-g32214-Activities-City_of_Industry_California.html
city,inglewood,https://www.tripadvisor.com/Attractions-g32525-Activities-Inglewood_California.html
city,irwindale,https://www.tripadvisor.com/Attractions-g32531-Activities-Irwindale_California.html
city,la_canada_flintridge,https://www.tripadvisor.com/Attractions-g32573-Activities-La_Canada_Flintridge_California.html
city,la_habra_heights,https://www.tripadvisor.com/Attractions-g32576-Activities-La_Habra_California.html
city,la_mirada,https://www.tripadvisor.com/Attractions-g32580-Activities-La_Mirada_California.html
city,la_puente,https://www.tripadvisor.com/Attractions-g32583-Activities-La_Puente_California.html
city,la_verne,https://www.tripadvisor.com/Attractions-g32586-Activities-La_Verne_California.html
city,lakewood,https://www.tripadvisor.com/Attractions-g32605-Activities-Lakewood_California.html
city,lancaster,https://www.tripadvisor.com/Attractions-g32607-Activities-Lancaster_California.html
city,lawndale,https://www.tripadvisor.com/Attractions-g32612-Activities-Lawndale_California.html
city,lomita,https://www.tripadvisor.com/Attractions-g32644-Activities-Lomita_California.html
city,long_beach,https://www.tripadvisor.com/Attractions-g32648-Activities-Long_Beach_California.html
city,los_angeles,https://www.tripadvisor.com/Attractions-g32655-Activities-Los_Angeles_California.html
city,lynwood,https://www.tripadvisor.com/Attractions-g32668-Activities-Lynwood_California.html
city,malibu,https://www.tripadvisor.com/Attractions-g32676-Activities-Malibu_California.html
city,manhattan_beach,https://www.tripadvisor.com/Attractions-g32678-Activities-Manhattan_Beach_California.html
city,maywood,
city,monrovia,https://www.tripadvisor.com/Attractions-g32729-Activities-Monrovia_California.html
city,montebello,https://www.tripadvisor.com/Attractions-g32735-Activities-Montebello_California.html
city,monterey_park,https://www.tripadvisor.com/Attractions-g32738-Activities-Monterey_Park_California.html
city,norwalk,https://www.tripadvisor.com/Attractions-g32796-Activities-Norwalk_California.html
city,palmdale,https://www.tripadvisor.com/Attractions-g32848-Activities-Palmdale_California.html
city,palos_verdes_estates,https://www.tripadvisor.com/Attractions-g32853-Activities-Palos_Verdes_Estates_California.html
city,paramount,https://www.tripadvisor.com/Attractions-g32856-Activities-Paramount_California.html
city,pasadena,https://www.tripadvisor.com/Attractions-g32859-Activities-Pasadena_California.html
city,pico_rivera,https://www.tripadvisor.com/Attractions-g32879-Activities-Pico_Rivera_California.html
city,pomona,https://www.tripadvisor.com/Attractions-g32911-Activities-Pomona_California.html
city,rancho_palos_verdes,https://www.tripadvisor.com/Attractions-g32944-Activities-Rancho_Palos_Verdes_California.html
city,redondo_beach,https://www.tripadvisor.com/Attractions-g32954-Activities-Redondo_Beach_California.html
city,rolling_hills,https://www.tripadvisor.com/Attractions-g32983-Activities-Rolling_Hills_California.html
city,rolling_hills_estates,https://www.tripadvisor.com/Attractions-g32984-Activities-Rolling_Hills_Estates_California.html
city,rosemead,https://www.tripadvisor.com/Attractions-g32987-Activities-Rosemead_California.html
city,san_dimas,https://www.tripadvisor.com/Attractions-g33013-Activities-San_Dimas_California.html
city,san_fernando,https://www.tripadvisor.com/Attractions-g33014-Activities-San_Fernando_California.html
city,san_gabriel,https://www.tripadvisor.com/Attractions-g33015-Activities-San_Gabriel_California.html
city,san_marino,https://www.tripadvisor.com/Attractions-g33029-Activities-San_Marino_California.html
city,santa_clarita,https://www.tripadvisor.com/Attractions-g33047-Activities-Santa_Clarita_California.html
city,santa_fe_springs,https://www.tripadvisor.com/Attractions-g33049-Activities-Santa_Fe_Springs_California.html
city,santa_monica,https://www.tripadvisor.com/Attractions-g33052-Activities-Santa_Monica_California.html
city,sierra_madre,https://www.tripadvisor.com/Attractions-g33089-Activities-Sierra_Madre_California.html
city,signal_hill,https://www.tripadvisor.com/Attractions-g33091-Activities-Signal_Hill_California.html
city,south_el_monte,https://www.tripadvisor.com/Attractions-g33112-Activities-South_El_Monte_California.html
city,south_gate,https://www.tripadvisor.com/Attractions-g33113-Activities-South_Gate_California.html
city,south_pasadena,https://www.tripadvisor.com/Attractions-g33115-Activities-South_Pasadena_California.html
city,temple_city,https://www.tripadvisor.com/Attractions-g33166-Activities-Temple_City_California.html
city,torrance,https://www.tripadvisor.com/Attractions-g33182-Activities-Torrance_California.html
city,vernon,
city,walnut,https://www.tripadvisor.com/Attractions-g33234-Activities-Walnut_California.html
city,west_covina,https://www.tripadvisor.com/Attractions-g33250-Activities-West_Covina_California.html
city,west_hollywood,https://www.tripadvisor.com/Attractions-g33252-Activities-West_Hollywood_California.html
city,westlake_village,https://www.tripadvisor.com/Attractions-g33258-Activities-Westlake_Village_California.html
city,whittier,https://www.tripadvisor.com/Attractions-g33268-Activities-Whittier_California.html
unincorporated,acton,https://www.tripadvisor.com/Attractions-g29065-Activities-Acton_California.html
unincorporated,agoura,
unincorporated,agua_dulce,https://www.tripadvisor.com/Attractions-g29070-Activities-Agua_Dulce_California.html
unincorporated,alondra_park,
unincorporated,alpine,
unincorporated,altadena,https://www.tripadvisor.com/Attractions-g29085-Activities-Altadena_California.html
unincorporated,antelope_acres,
unincorporated,avocado_heights,
unincorporated,baldwin_hills,
unincorporated,bandini_islands,
unincorporated,bassett,
unincorporated,belvedere_gardens,
unincorporated,big_mountain_ridge,
unincorporated,big_pines,
unincorporated,bouquet_canyon,
unincorporated,calabasas_hidden_hills,
unincorporated,castaic,https://www.tripadvisor.com/Attractions-g32182-Activities-Castaic_California.html
unincorporated,castaic_junction,
unincorporated,charter_oak,
unincorporated,citrus,
unincorporated,city_terrace,
unincorporated,cornell,
unincorporated,covina,
unincorporated,crystalaire,
unincorporated,deer_lake_highlands,
unincorporated,del_aire,
unincorporated,del_sur,
unincorporated,desert_view_highlands,
unincorporated,east_azusa,
unincorporated,east_la_mirada,
unincorporated,east_los_angeles,https://www.tripadvisor.com/Attractions-g32325-Activities-East_Los_Angeles_California.html
unincorporated,east_pasadena,
unincorporated,east_rancho_dominguez,
unincorporated,east_san_gabriel,
unincorporated,east_whittier,
unincorporated,eastmont,
unincorporated,el_camino_village,
unincorporated,elizabeth_lake,
unincorporated,fairmont,
unincorporated,fernwood,
unincorporated,firestone_park,
unincorporated,florence-graham,
unincorporated,forrest_park,
unincorporated,glendora,
unincorporated,glenview,
unincorporated,gorman,https://www.tripadvisor.com/Attractions-g32441-Activities-Gorman_California.html
unincorporated,green_valley,
unincorporated,hacienda_heights,https://www.tripadvisor.com/Attractions-g32468-Activities-Hacienda_Heights_California.html
unincorporated,halsey_canyon,
unincorporated,hi_vista,
unincorporated,juniper_hills,
unincorporated,kagel_canyon,
unincorporated,kinneola_mesa,
unincorporated,la_crescenta-montrose,https://www.tripadvisor.com/Attractions-g32740-Activities-Montrose_California.html
unincorporated,la_rambla,
unincorporated,la_verne_san_dimas,
unincorporated,ladera_heights,
unincorporated,lake_hughes,https://www.tripadvisor.com/Attractions-g32597-Activities-Lake_Hughes_California.html
unincorporated,lake_los_angeles,
unincorporated,lake_view_terrace_sylmar,
unincorporated,lakeview,
unincorporated,lang,
unincorporated,largo_vista,
unincorporated,lennox,
unincorporated,leona_valley,https://www.tripadvisor.com/Attractions-g32623-Activities-Leona_Valley_California.html
unincorporated,littlerock,https://www.tripadvisor.com/Attractions-g32633-Activities-Littlerock_California.html
unincorporated,llano,https://www.tripadvisor.com/Attractions-g32637-Activities-Llano_California.html
unincorporated,long_beach,
unincorporated,longview,
unincorporated,malibou_lake,
unincorporated,malibu_bowl,
unincorporated,malibu_hills,
unincorporated,malibu_vista,
unincorporated,marina_del_rey,https://www.tripadvisor.com/Attractions-g32684-Activities-Marina_del_Rey_California.html
unincorporated,mayflower_village,
unincorporated,mile_high,
unincorporated,mint_canyon,
unincorporated,monrovia_arcadia_duarte,
unincorporated,monte_nido,
unincorporated,montrose,
unincorporated,neenach,
unincorporated,north_claremont,
unincorporated,north_el_monte,
unincorporated,northeast_whittier,
unincorporated,northwest_whittier,
unincorporated,norwalk_cerritos,
unincorporated,oban,
unincorporated,pearblossom,https://www.tripadvisor.com/Attractions-g32866-Activities-Pearblossom_California.html
unincorporated,pico,
unincorporated,quartz_hill,
unincorporated,rancho_dominguez,
unincorporated,ravenna,
unincorporated,redman,
unincorporated,roosevelt,
unincorporated,rose_hills,
unincorporated,rosewood,
unincorporated,rowland_heights,https://www.tripadvisor.com/Attractions-g32992-Activities-Rowland_Heights_California.html
unincorporated,san_clemente_island,
unincorporated,san_pasqual,
unincorporated,sandberg,
unincorporated,santa_catalina_island,https://www.tripadvisor.com/Attractions-g102873-Activities-Catalina_Island_California.html
unincorporated,seminole_hot_springs,
unincorporated,sleepy_valley,
unincorporated,soledad,
unincorporated,south_monrovia_island,
unincorporated,south_san_gabriel,
unincorporated,south_san_jose_hills,
unincorporated,south_whittier,
unincorporated,stevenson_ranch,
unincorporated,sulpher_springs,
unincorporated,sun_village,
unincorporated,sunset_mesa,
unincorporated,sunshine_acres,
unincorporated,sylvia_park,
unincorporated,three_points,
unincorporated,topanga,https://www.tripadvisor.com/Attractions-g1052868-Activities-Topanga_California.html
unincorporated,topanga_park,
unincorporated,twin_lakes,
unincorporated,universal_city,
unincorporated,val_verde,
unincorporated,valinda,
unincorporated,valyermo,
unincorporated,veterans_administration_center,
unincorporated,view_park-windsor_hills,
unincorporated,vincent,
unincorporated,walnut_park,
unincorporated,west_athens,
unincorporated,west_carson,
unincorporated,west_chatsworth,
unincorporated,west_pomona,
unincorporated,west_puente_valley,
unincorporated,west_rancho_dominguez,
unincorporated,west_whittier-los_nietos,
unincorporated,westmont,
unincorporated,willowbrook,
unincorporated,wilsona_gardens,
unincorporated,windsor_hills,
unincorporated,wiseburn,
